林蕙青	高等学校专业设置与教学指导委员会	教育部					
张异宾	哲学类专业教学指导委员会	南京大学					
唐正东	哲学类专业教学指导委员会	南京大学					
刘伟	经济学类专业教学指导委员会	中国人民大学					
邱海平	经济学类专业教学指导委员会	中国人民大学					
樊丽明	财政学类专业教学指导委员会	山东大学					
石绍宾	财政学类专业教学指导委员会	山东大学					
王广谦	金融类专业教学指导委员会	中央财经大学					
李建军	金融类专业教学指导委员会	中央财经大学					
赵忠秀	经济与贸易类专业教学指导委员会	对外经济贸易大学					
洪俊杰	经济与贸易类专业教学指导委员会	对外经济贸易大学					
徐显明	法学类专业教学指导委员会	全国人民代表大会监察和司法委员会					
李树忠	法学类专业教学指导委员会	中国政法大学					
王浦劬	政治学类专业教学指导委员会	北京大学					
关海庭	政治学类专业教学指导委员会	北京大学					
李路路	社会学类专业教学指导委员会	中国人民大学					
冯仕政	社会学类专业教学指导委员会	中国人民大学					
麻国庆	民族学类专业教学指导委员会	中央民族大学					
黄志辉	民族学类专业教学指导委员会	中央民族大学					
靳诺	马克思主义理论类专业教学指导委员会	中国人民大学					
齐鹏飞	马克思主义理论类专业教学指导委员会	中国人民大学					
曹诗权	公安学类专业教学指导委员会	中国人民公安大学					
马亚雄	公安学类专业教学指导委员会	中国人民公安大学					
谢维和	教育学类专业教学指导委员会	清华大学					
李曼丽	教育学类专业教学指导委员会	清华大学					
张福贵	中国语言文学类专业教学指导委员会	吉林大学					
张丛皞	中国语言文学类专业教学指导委员会	吉林大学					
孙有中	外国语言文学类专业教学指导委员会	北京外国语大学					
李莉文	外国语言文学类专业教学指导委员会	北京外国语大学					
高晓虹	新闻传播学类专业教学指导委员会	中国传媒大学					
王晓红	新闻传播学类专业教学指导委员会	中国传媒大学					
陈春声	历史学类专业教学指导委员会	中山大学					
谢湜	历史学类专业教学指导委员会	中山大学					
郑志明	数学类专业教学指导委员会	北京航空航天大学					
韩德仁	数学类专业教学指导委员会	北京航空航天大学					
罗俊	物理学类专业教学指导委员会	中山大学					
陈敏	物理学类专业教学指导委员会	中山大学					
郑兰荪	化学类专业教学指导委员会	厦门大学					
朱亚先	化学类专业教学指导委员会	厦门大学					
李向东	天文学类专业教学指导委员会	南京大学					
陈鹏飞	天文学类专业教学指导委员会	南京大学					
贺灿飞	地理科学类专业教学指导委员会	北京大学					
刘瑜	地理科学类专业教学指导委员会	北京大学					
